,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,4827.06682543167,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,4762.33431679059,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,4870.263089218,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,4885.19133525086,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10120.5293983727,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10075.1442771468,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10053.0042085751,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,10053.4744255972,,Unknown,Unassigned,False
,A02,SYBR_,,Unkn,BR_ A_BR_,5106.69747921601,,Unknown,Unassigned,False
,B02,SYBR_,,Unkn,BR_ B_BR_,5482.17523422032,,Unknown,Unassigned,False
,C02,SYBR_,,Unkn,BR_ C_BR_,5701.99952203658,,Unknown,Unassigned,False
,D02,SYBR_,,Unkn,BR_ D_BR_,6085.92725696237,,Unknown,Unassigned,False
,E02,SYBR_,,Unkn,BR_ E_BR_,6429.00045608984,,Unknown,Unassigned,False
,F02,SYBR_,,Unkn,BR_ F_BR_,6674.66412050316,,Unknown,Unassigned,False
,G02,SYBR_,,Unkn,BR_ G_BR_,7011.66900473408,,Unknown,Unassigned,False
,H02,SYBR_,,Unkn,BR_ H_BR_,7186.18097270163,,Unknown,Unassigned,False
,A03,SYBR_,,Unkn,BR_ A_BR_,5134.83281005974,,Unknown,Unassigned,False
,B03,SYBR_,,Unkn,BR_ B_BR_,5237.58543072909,,Unknown,Unassigned,False
,C03,SYBR_,,Unkn,BR_ C_BR_,5529.7414136154,,Unknown,Unassigned,False
,D03,SYBR_,,Unkn,BR_ D_BR_,6111.68301169695,,Unknown,Unassigned,False
,E03,SYBR_,,Unkn,BR_ E_BR_,6401.83262671182,,Unknown,Unassigned,False
,F03,SYBR_,,Unkn,BR_ F_BR_,6764.79954190025,,Unknown,Unassigned,False
